name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Crassaminicella indica	2855394	S	20	0	20	0.00000
Candidatus Arthromitus sp. SFB-rat-Yit	1041504	S	33	37	70	0.00000
Haloimpatiens lingqiaonensis	1380675	S	25	4	29	0.00000
Haloimpatiens sporogenes	3298609	S	21	1	22	0.00000
Haloimpatiens myeolchijeotgali	3298610	S	15	1	16	0.00000
Candidatus Sarcina troglodytae	2726954	S	61	4	65	0.00000
Caloramator sp. Dgby_cultured_2	3029174	S	33	0	33	0.00000
Caloramator sp. mosi_1	3023090	S	19	0	19	0.00000
Oceanirhabdus sp. W0125-5	2999116	S	26	0	26	0.00000
Eubacterium ramulus	39490	S	19153	1384	20537	0.00067
Eubacterium sp. MSJ-33	2841528	S	2077	105	2182	0.00007
Eubacterium sp. F2	3381348	S	638	6	644	0.00002
Eubacterium ventriosum	39496	S	2646	114	2760	0.00009
Eubacterium callanderi	53442	S	2257	195	2452	0.00008
Eubacterium maltosivorans	2041044	S	93	2	95	0.00000
Eubacterium limosum	1736	S	84	4	88	0.00000
Acetobacterium wieringae	52694	S	18	31	49	0.00000
Pseudoramibacter alactolyticus	113287	S	55	0	55	0.00000
Anaerofustis stercorihominis	214853	S	27	0	27	0.00000
Alkalibacter rhizosphaerae	2815577	S	23	0	23	0.00000
Intestinimonas butyriciproducens	1297617	S	3141	100	3241	0.00011
Flintibacter sp. KGMB00164	2610895	S	876	29	905	0.00003
Levyella massiliensis	938289	S	99	2	101	0.00000
Proteiniborus sp. MB09-C3	3050072	S	20	0	20	0.00000
Butyricicoccus porcorum	1945634	S	656	21	677	0.00002
Butyricicoccus sp. GAM44	2109686	S	488	2	490	0.00002
Agathobaculum sp. NTUH-O15-33	3079302	S	310	2	312	0.00001
Agathobaculum massiliense	3014267	S	81	148	229	0.00001
Intestinibacillus sp. NTUH-41-i26	3079303	S	198	400	598	0.00002
Aristaeella lactis	3046383	S	483	709	1192	0.00004
Aristaeella hokkaidonensis	3046382	S	123	188	311	0.00001
Caproiciproducens sp. LBM24188	3450750	S	168	27	195	0.00001
Caproiciproducens sp. CPB-2	3030017	S	17	146	163	0.00001
Caproiciproducens puteiluti	3435000	S	56	132	188	0.00001
Acutalibacter muris	1796620	S	254	5	259	0.00001
Caproicibacter fermentans	2576756	S	99	44	143	0.00000
Desulfosporosinus orientis	1563	S	34	1	35	0.00000
Desulfosporosinus acidiphilus	885581	S	31	0	31	0.00000
Desulfosporosinus meridiei	79209	S	16	0	16	0.00000
Desulfosporosinus youngiae	339862	S	16	0	16	0.00000
Desulfosporosinus paludis	3115649	S	11	0	11	0.00000
Dehalobacter sp. DCM	2907827	S	26	3	29	0.00000
Dehalobacter sp. TBBPA1	3235037	S	10	44	54	0.00000
Desulfitobacterium hafniense	49338	S	32	9	41	0.00000
Desulfitobacterium metallireducens	142877	S	16	1	17	0.00000
Heliomicrobium modesticaldum	35701	S	118	1	119	0.00000
Desulfofundulus kuznetsovii	58135	S	33	0	33	0.00000
Desulforamulus ruminis	1564	S	10	0	10	0.00000
Dehalobacterium formicoaceticum	51515	S	12	0	12	0.00000
Candidatus Formimonas warabiya	1761012	S	12	0	12	0.00000
Caldinitratiruptor microaerophilus	671077	S	55	1	56	0.00000
Syntrophomonas curvata	231025	S	17	0	17	0.00000
Syntrophothermus lipocalidus	86170	S	18	0	18	0.00000
Helicovermis profundi	3065157	S	19	0	19	0.00000
Tianxiuia mixotrophica	3071453	S	16	0	16	0.00000
Alkalicella caledoniensis	2731377	S	28	0	28	0.00000
Desulfoscipio gibsoniae	102134	S	10	0	10	0.00000
Romboutsia ilealis	1115758	S	14646	2833	17479	0.00057
Romboutsia sp. 13368	2708053	S	2513	661	3174	0.00010
Romboutsia sp. CE17	2724150	S	805	100	905	0.00003
Romboutsia hominis	1507512	S	461	46	507	0.00002
Intestinibacter bartlettii	261299	S	5618	301	5919	0.00019
Clostridioides difficile	1496	S	3531	710	4241	0.00014
Clostridioides sp. ES-S-0054-01	2770780	S	56	80	136	0.00000
Paraclostridium sordellii	1505	S	262	19	281	0.00001
Paraclostridium bifermentans	1490	S	106	79	185	0.00001
Paraclostridium ghonii	29358	S	97	9	106	0.00000
Paraclostridium dentum	2662455	S	23	36	59	0.00000
Terrisporobacter petrolearius	1460447	S	117	183	300	0.00001
Terrisporobacter vanillatitrophus	3058402	S	60	21	81	0.00000
Terrisporobacter mayombei	1541	S	45	20	65	0.00000
Terrisporobacter glycolicus	36841	S	42	21	63	0.00000
Faecalimicrobium sp. JNUCC 81	3469801	S	374	28	402	0.00001
Peptostreptococcus anaerobius	1261	S	241	18	259	0.00001
Peptostreptococcus equinus	3003601	S	60	2	62	0.00000
Peptacetobacter sp. AB845	3388429	S	102	22	124	0.00000
Peptacetobacter hiranonis	89152	S	87	14	101	0.00000
Tepidibacter aestuarii	2925782	S	37	5	42	0.00000
Tepidibacter hydrothermalis	3036126	S	29	3	32	0.00000
Mogibacterium diversum	114527	S	1589	109	1698	0.00006
Mogibacterium neglectum	114528	S	183	17	200	0.00001
Mogibacterium pumilum	86332	S	61	3	64	0.00000
Emergencia sp. JLR.KK010	3114296	S	1127	59	1186	0.00004
Emergencia timonensis	1776384	S	107	1	108	0.00000
Aminipila butyrica	433296	S	118	7	125	0.00000
Aminipila luticellarii	2507160	S	52	6	58	0.00000
Aminipila terrae	2697030	S	39	4	43	0.00000
Ihubacter sp. rT4E-8	3242369	S	88	4	92	0.00000
Anoxybacterium hadale	3408580	S	50	0	50	0.00000
Sinanaerobacter sp. ZZT-01	3111540	S	39	0	39	0.00000
Filifactor alocis	143361	S	357	14	371	0.00001
Acetoanaerobium sticklandii	1511	S	11	4	15	0.00000
Alkaliphilus metalliredigens	208226	S	41	0	41	0.00000
Alkaliphilus sp. B6464	2731219	S	24	0	24	0.00000
Alkaliphilus oremlandii	461876	S	23	0	23	0.00000
Serpentinicella alkaliphila	1734049	S	38	0	38	0.00000
Andreesenella acetica	84022	S	26	4	30	0.00000
Peptoclostridium acidaminophilum	1731	S	29	0	29	0.00000
Geosporobacter ferrireducens	1424294	S	27	0	27	0.00000
Caminicella sporogenes	166485	S	20	0	20	0.00000
Christensenella minuta	626937	S	1545	28	1573	0.00005
Christensenella massiliensis	1805714	S	202	5	207	0.00001
Christensenella sp. MSJ-20	2841518	S	108	0	108	0.00000
Monoglobus pectinilyticus	1981510	S	963	21	984	0.00003
Thermacetogenium phaeum	85874	S	93	2	95	0.00000
Thermoanaerobacterium sp. RBIITD	1550240	S	25	18	43	0.00000
Gelria sp. Kuro-4	2796927	S	17	0	17	0.00000
Caldanaerobacter subterraneus	911092	S	11	32	43	0.00000
Desulforudis sp. Tu-874	3416276	S	57	0	57	0.00000
Thermanaeromonas toyohensis	161154	S	155	1	156	0.00001
