"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Sphingobacterium sp. BN32",43,0,81,0,0,0
"Sphingobacterium sp. WOUb80",133,207,0,0,0,0
"Sphingobacterium sp. LZ7M1",33,0,0,0,13,11
"Sphingobacterium spiritivorum",37,0,35,0,0,10
"Sphingobacterium daejeonense",26,0,0,0,0,0
"Chitinophaga oryzae",132,0,57,32,0,0
"Chitinophaga sp. XS-30",26,13,15,0,0,0
"Chitinophaga sp. MM2321",23,0,0,0,0,0
"Chitinophaga caseinilytica",29,0,55,0,0,11
"Niabella soli",90,32,41,13,0,10
"Niabella insulamsoli",28,0,32,0,0,13
"Niabella ginsenosidivorans",18,0,33,0,0,0
"Lacibacter sediminis",69,48,0,0,0,38
"Lacibacter sp. MH-610",18,0,46,0,0,0
"Phnomibacter ginsenosidimutans",86,0,20,0,0,0
"Puia sp. P3",48,10,37,0,0,0
"Pseudobacter ginsenosidimutans",30,0,25,0,13,0
"Arachidicoccus terrestris",17,0,14,13,0,0
"Mycovorax composti",18,0,0,0,0,0
"Flavihumibacter rivuli",14,0,11,0,0,0
"Pseudocnuella soli",12,0,0,20,0,12
"Phaeodactylibacter xiamenensis",563,0,454,22,14,28
"Aureispira sp. CCB-E",100,0,103,23,0,0
"Candidatus Sulfidibacterium hydrothermale",60,0,56,0,0,0
"Pelodictyon phaeoclathratiforme",129,0,31,0,0,15
"Chlorobium limicola",42,0,0,0,0,0
"Chlorobaculum tepidum",71,0,29,0,0,0
"Chlorobaculum parvum",66,0,35,0,12,0
"Chlorobaculum limnaeum",25,0,41,0,13,0
"Prosthecochloris sp. GSB1",30,0,43,0,16,0
"Prosthecochloris sp. CIB 2401",21,0,120,0,0,0
"Prosthecochloris aestuarii",33,0,32,0,0,0
"Chloroherpeton thalassium",30,0,25,0,16,0
"Rubrivirga sp.",310,0,17,22,0,0
"Rubrivirga aquatilis",24,0,16,0,16,0
"Rhodothermus marinus",35,0,27,10,0,0
"Rhodocaloribacter litoris",20,0,49,0,40,0
"Salinibacter ruber",25,0,36,27,10,0
"Gracilimonas sp.",24,0,38,0,0,15
"Pseudogemmatithrix spongiicola",83,12,15,0,0,0
"Candidatus Palauibacter sp.",50,0,241,42,15,0
"Candidatus Palauibacter irciniicola",11,0,0,0,0,0
"Fibrobacter succinogenes",126,0,59,12,61,76
"Klebsiella grimontii",1434,2513,903,1690,1580,2450
"Klebsiella pneumoniae",870,1996,785,700,1303,59215
"Klebsiella variicola",153,0,115,0,0,251191
"Klebsiella quasipneumoniae",19,0,179,23,0,3966
"Klebsiella electrica",71,0,36,0,0,12
"Klebsiella sp. WOUb02",25,0,17,0,0,19
"Klebsiella sp. HC6",17,0,0,0,0,21
"Klebsiella michiganensis",32,0,52,46,0,327
"Klebsiella aerogenes",15,0,60,12,18,208
"Escherichia coli",3260,6698,515939,86525,20396,2580
"Escherichia albertii",23,0,363,68,559,4470
"Escherichia fergusonii",26,0,320,127,35,0
"Escherichia marmotae",18,184,160,29,15,0
"Enterobacter kobei",339,799,141,0,0,0
"Enterobacter asburiae",34,0,54,69,0,78
"Enterobacter hormaechei",58,0,218,99,0,361
"Enterobacter roggenkampii",25,0,50,0,208,26
"Enterobacter ludwigii",26,22,85,140,0,66
"Enterobacter sp. SA187",16,0,0,14,0,0
"Enterobacter sp. C2",11,0,31,0,0,0
"Enterobacter mori",18,0,13,14,0,0
"Citrobacter braakii",286,0,267,52,0,71
"Citrobacter farmeri",32,38,32,0,0,0
"Citrobacter meridianamericanus",35,0,26,0,0,0
"Cronobacter sakazakii",182,0,84,0,0,0
"Cronobacter dublinensis",29,244,24,20,49,0
"Cronobacter condimenti",12,0,0,0,0,0
"Kosakonia sp. CCTCC M2018092",92,0,0,0,0,0
"Kosakonia sacchari",73,0,24,0,0,24
"Kosakonia cowanii",47,0,29,0,14,15
