"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Arenibacter algicola",0,0,140,32,0,0
"Arenibacter antarcticus",0,0,12,0,0,0
"Robiginitalea sp. IMCC43444",0,0,29,0,0,0
"Leeuwenhoekiella sp. H156",0,0,70,0,0,0
"Cellulophaga sp. L1A9",0,0,47,0,0,361
"Antarcticibacterium sp. 1MA-6-2",0,0,58,0,0,0
"Antarcticibacterium flavum",0,0,23,0,0,0
"Seonamhaeicola sp. ML3",0,0,66,0,0,0
"Seonamhaeicola sp. MEBiC01930",0,0,15,0,67,0
"Myroides albus",0,0,51,0,0,0
"Salegentibacter agarivorans",0,0,52,22,0,0
"Lacinutrix sp. WUR7",0,0,47,0,0,0
"Aestuariibaculum sp. YM273",0,0,45,0,0,0
"Zobellia galactanivorans",0,0,36,0,0,0
"Allomuricauda sp. SCSIO 65647",0,0,25,27,0,0
"Allomuricauda sp. SCSIO 64092",0,0,17,0,0,0
"Kordia antarctica",0,0,30,0,0,0
"Hwangdonia lutea",0,0,42,0,0,0
"Pseudalgibacter alginicilyticus",0,0,44,0,0,0
"Olleya sp. YS",0,0,38,0,0,0
"Rasiella rasia",0,0,21,0,0,0
"Rasiella sp. SM2506",0,0,11,0,0,0
"Sinomicrobium kalidii",0,0,29,0,0,0
"Pseudotamlana carrageenivorans",0,0,53,0,0,0
"Flavivirga eckloniae",0,0,24,24,13,0
"Daejeonia sp. YH14",0,0,29,31,28,0
"Bizionia sp. M204",0,0,24,0,0,0
"Paenimyroides ceti",0,0,15,0,0,13
"Pontimicrobium sp. SW4",0,0,16,0,18,0
"Ulvibacterium sp.",0,0,12,0,0,0
"Vaginella massiliensis",0,0,19,0,0,0
"Chryseobacterium sp. G0186",0,0,98,0,0,0
"Chryseobacterium sp.",0,0,75,0,0,0
"Chryseobacterium sp. MA9",0,0,49,0,0,0
"Chryseobacterium sp. 6424",0,0,17,52,32,0
"Chryseobacterium sp. G0201",0,0,18,0,0,0
"Chryseobacterium joostei",0,0,91,0,0,53
"Chryseobacterium glaciei",0,0,45,0,54,0
"Chryseobacterium panacisoli",0,0,48,0,0,0
"Chryseobacterium chendengshani",0,0,26,0,0,0
"Chryseobacterium aureum",0,0,29,0,0,0
"Chryseobacterium nakagawai",0,0,34,0,0,0
"Chryseobacterium salivictor",0,0,20,0,0,0
"Chryseobacterium gallinarum",0,0,16,0,0,0
"Chryseobacterium manosquense",0,0,17,0,0,0
"Chryseobacterium koreense",0,0,11,0,0,0
"Chryseobacterium taklimakanense",0,0,12,0,57,0
"Kaistella sp. 97-N-M2",0,0,126,0,0,0
"Kaistella carnis",0,0,12,0,0,0
"Kaistella flava (ex Peng et al. 2021)",0,0,12,0,0,0
"Kaistella faecalis",0,0,11,0,0,0
"Epilithonimonas vandammei",0,0,45,0,0,0
"Elizabethkingia bruuniana",0,0,397,0,0,0
"Elizabethkingia meningoseptica",0,0,34,16,43,19
"Elizabethkingia sp. JS20170427COW",0,0,31,0,0,0
"Elizabethkingia ursingii",0,0,20,0,0,0
"Elizabethkingia miricola",0,0,32,0,0,0
"Candidatus Ornithobacterium hominis",0,0,37,12,0,0
"Riemerella columbina",0,0,16,0,0,0
"Apibacter raozihei",0,0,10,0,0,0
"Ichthyobacterium seriolicida",0,0,83,0,0,0
"Sanyastnella coralliicola",0,0,19,0,0,0
"Fluviicola sp.",0,0,10,0,0,0
"Parvicella tangerina",0,0,14,0,0,0
"Hymenobacter sp. DG01",0,0,103,0,0,0
"Hymenobacter sp. BRD67",0,0,48,0,0,0
"Hymenobacter sp. HDW8",0,0,67,0,49,0
"Hymenobacter sediminicola",0,0,60,0,0,0
"Hymenobacter cellulosilyticus",0,0,59,0,0,12
"Hymenobacter latericus",0,0,40,0,0,0
"Hymenobacter canadensis",0,0,51,30,0,0
"Hymenobacter monticola",0,0,23,0,0,0
"Pontibacter sp. SGAir0037",0,0,91,20,22,20
"Pontibacter korlensis",0,0,40,0,0,0
"Pontibacter pudoricolor",0,0,32,0,27,0
"Adhaeribacter swui",0,0,156,0,0,0
"Rufibacter tibetensis",0,0,47,0,0,0
"Rufibacter sp. DG15C",0,0,15,0,0,0
"Dyadobacter chenwenxiniae",0,0,143,0,25,0
"Dyadobacter sp. 676",0,0,107,0,0,0
"Dyadobacter sp. NIV53",0,0,22,0,0,0
"Dyadobacter fermentans",0,0,66,0,0,0
"Dyadobacter fanqingshengii",0,0,12,0,0,0
"Larkinella bombi",0,0,15,0,0,15
"Runella slithyformis",0,0,76,0,0,0
"Runella rosea",0,0,54,0,0,0
"Fibrella aestuarina",0,0,91,13,0,0
"Spirosoma aerolatum",0,0,43,0,0,0
"Spirosoma rigui",0,0,26,26,0,12
"Spirosoma linguale",0,0,20,0,0,0
"Spirosoma rhododendri",0,0,20,0,0,15
"Spirosoma foliorum",0,0,13,0,0,13
"Spirosoma radiotolerans",0,0,11,0,24,0
"Algoriphagus halophilus",0,0,66,0,0,0
"Echinicola sp. 20G",0,0,14,0,0,0
"Cyclobacterium xiamenense",0,0,48,0,0,0
"Aquiflexum balticum",0,0,20,0,0,0
"Mongoliitalea daihaiensis",0,0,10,0,0,0
"Catalinimonas niigatensis",0,0,128,0,0,0
"Porifericola rhodea",0,0,31,0,0,0
"Tunicatimonas pelagia",0,0,24,0,64,0
"Persicobacter psychrovividus",0,0,116,0,0,0
"Fulvitalea axinellae",0,0,18,0,0,0
"Ekhidna algicida",0,0,38,0,0,14
"Reichenbachiella carrageenanivorans",0,0,11,0,0,0
"Fulvivirga ligni",0,0,32,0,0,0
"Fulvivirga maritima",0,0,30,0,0,0
"Marivirga salinarum",0,0,18,10,0,0
"Roseivirga sp.",0,0,12,0,0,0
"Cardinium endosymbiont of Tipula unca",0,0,17,0,0,0
"Pedobacter sp. UC225_65",0,0,185,0,0,0
"Pedobacter sp. G11",0,0,57,0,0,0
"Pedobacter sp. FW305-3-2-15-E-R2A2",0,0,33,22,0,0
"Pedobacter sp. R-06",0,0,55,0,0,0
"Pedobacter sp.",0,0,23,17,0,0
"Pedobacter sp. KLB.chiD",0,0,33,0,0,0
"Pedobacter panaciterrae",0,0,559,17,0,0
"Pedobacter heparinus",0,0,38,0,0,0
"Mucilaginibacter sp. Mucisp86",0,0,180,0,0,0
"Mucilaginibacter sp. McL0603",0,0,37,0,0,0
"Mucilaginibacter sp. R-33",0,0,101,0,0,0
"Mucilaginibacter sp. NFX135",0,0,14,0,14,0
"Mucilaginibacter geliditolerans",0,0,234,19,0,0
"Mucilaginibacter tundrae",0,0,102,34,0,0
"Mucilaginibacter mali",0,0,52,0,0,0
"Mucilaginibacter gotjawali",0,0,47,0,23,0
"Mucilaginibacter daejeonensis",0,0,41,0,15,0
"Mucilaginibacter empetricola",0,0,40,0,0,0
"Mucilaginibacter ginsenosidivorans",0,0,34,0,0,0
"Mucilaginibacter xinganensis",0,0,17,0,0,0
"Mucilaginibacter celer",0,0,15,23,18,0
"Mucilaginibacter robiniae",0,0,12,0,0,0
"Sphingobacterium sp. SYP-B4668",0,0,49,0,0,0
"Sphingobacterium sp. DR205",0,0,67,0,0,0
"Sphingobacterium oryzagri",0,0,43,0,0,0
"Sphingobacterium zhuxiongii",0,0,16,0,0,0
"Pseudopedobacter saltans",0,0,101,0,0,0
"Arcticibacter sp. MXS-1",0,0,35,10,11,0
"Anseongella ginsenosidimutans",0,0,17,0,0,0
"Chitinophaga filiformis",0,0,301,0,0,0
"Chitinophaga sp. HK235",0,0,37,0,0,0
"Chitinophaga sancti",0,0,42,0,0,0
"Chitinophaga caeni",0,0,13,0,0,0
"Chitinophaga niabensis",0,0,10,0,0,0
"Chitinophaga horti",0,0,10,18,0,0
"Flavihumibacter fluvii",0,0,128,0,0,0
"Arachidicoccus soli",0,0,63,0,0,0
"Arachidicoccus ginsenosidimutans",0,0,25,0,0,0
"Paraflavitalea speifideaquila",0,0,64,0,0,0
"Niastella koreensis",0,0,60,0,18,0
"Filimonas lacunae",0,0,47,0,0,11
"Sediminibacterium longum",0,0,35,0,0,0
"Ferruginibacter albus",0,0,21,14,0,0
"Rhizosphaericola mali",0,0,20,0,0,0
"Flavisolibacter ginsenosidimutans",0,0,10,0,0,0
"Haliscomenobacter hydrossis",0,0,41,0,0,0
"Saprospira sp. CCB-QB6",0,0,22,0,0,0
"Lewinella sp. LCG006",0,0,46,0,0,0
"Neolewinella sp.",0,0,38,0,0,0
"Prosthecochloris sp. SCSIO W1101",0,0,25,0,0,11
"Pelodictyon luteolum",0,0,17,0,14,0
"Chlorobium phaeobacteroides",0,0,11,0,0,0
"Gracilimonas sediminicola",0,0,78,0,0,0
"Cyclonatronum proteinivorum",0,0,27,0,17,0
"Melioribacter roseus",0,0,88,0,0,0
"Ignavibacterium album",0,0,30,14,0,0
"Gemmatimonas groenlandica",0,0,23,0,0,0
"Gemmatirosa kalamazoonensis",0,0,29,0,0,0
"Gaopeijia maritima",0,0,28,0,0,0
"Fidelibacter multiformis",0,0,39,23,0,0
"Escherichia sp. E4742",0,0,100,16,22,0
"Klebsiella sp. I138",0,0,18,0,0,20
"Klebsiella ornithinolytica",0,0,89,0,0,295
"Klebsiella oxytoca",0,0,20,35,57,72
"Klebsiella planticola",0,0,24,26,0,0
"Citrobacter freundii",0,0,318,124,182,198
"Citrobacter sedlakii",0,0,43,0,0,0
"Citrobacter werkmanii",0,0,42,0,0,0
"Citrobacter portucalensis",0,0,58,34,0,0
"Citrobacter rodentium",0,0,17,32,0,0
"Citrobacter koseri",0,0,20,0,0,0
"Enterobacter chuandaensis",0,0,79,12,0,35
"Enterobacter cloacae",0,0,17,16,49,2736
"Enterobacter sp. Colony194",0,0,30,0,0,0
"Enterobacter wuhouensis",0,0,38,0,23,0
"Shigella flexneri",0,0,5884,1176,0,0
"Shigella dysenteriae",0,0,507,156,176,0
"Shigella boydii",0,0,346,139,0,0
"Shigella sonnei",0,0,260,0,0,0
"Cronobacter universalis",0,0,104,0,0,0
"Kosakonia radicincitans",0,0,47,0,0,0
"Kosakonia sp. MUSA4",0,0,23,0,0,0
"Kosakonia calanthes",0,0,24,0,0,0
"Kosakonia beeri",0,0,13,0,0,0
"Kosakonia styphnolobii",0,0,11,0,0,0
"Leclercia adecarboxylata",0,0,65,45,22,0
"Leclercia sp. W17",0,0,44,0,0,0
"Cedecea neteri",0,0,57,28,18,16
"Cedecea sp. FDAARGOS_727",0,0,23,0,0,0
"Symbiopectobacterium purcellii",0,0,35,25,0,21
"Blochmannia endosymbiont of Colobopsis nipponica",0,0,16,0,0,25
"[Enterobacter] lignolyticus",0,0,23,32,15,34
"Buttiauxella sp. WJP83",0,0,21,0,0,0
"Yokenella regensburgei",0,0,33,0,0,0
"Siccibacter colletis",0,0,29,0,0,0
"Superficieibacter sp. BNK-5",0,0,15,0,0,0
"Dryocola sp. LX212",0,0,12,12,0,0
"Mangrovibacter phragmitis",0,0,11,0,0,0
"Shimwellia blattae",0,0,10,0,0,0
"Pantoea sp. Lij88",0,0,60,0,18,0
"Pantoea sp. BRR-3P",0,0,72,0,0,0
"Candidatus Pantoea soli",0,0,77,0,0,0
"Pantoea allii",0,0,39,0,0,0
"Pantoea eucrina",0,0,23,0,33,0
"Pantoea phytostimulans",0,0,22,0,0,0
"Pantoea cypripedii",0,0,16,42,27,45
"Pantoea eucalypti",0,0,38,0,0,0
"Pantoea alhagi",0,0,16,0,0,0
"Pantoea anthophila",0,0,11,0,0,0
"Erwinia sorbitola",0,0,26,0,30,0
"Serratia quinivorans",0,0,215,0,0,0
"Serratia sp. L9",0,0,17,0,0,0
"Yersinia pestis",0,0,270,0,0,0
"Rahnella victoriana",0,0,22,0,0,0
"Rahnella inusitata",0,0,14,23,27,0
"Rouxiella chamberiensis",0,0,26,0,0,0
"Rouxiella badensis",0,0,17,0,0,0
"Candidatus Fukatsuia anoeciicola",0,0,27,0,0,0
"Gibbsiella quercinecans",0,0,16,0,0,0
"Providencia rettgeri",0,0,84,0,80,61
"Providencia alcalifaciens",0,0,16,0,0,0
"Providencia huaxiensis",0,0,16,0,0,0
"Photorhabdus laumondii",0,0,49,0,0,0
"Xenorhabdus hominickii",0,0,17,0,0,0
"Dickeya solani",0,0,80,29,0,0
"Brenneria rubrifaciens",0,0,47,0,17,0
"Lonsdalea populi",0,0,17,40,0,0
"Edwardsiella tarda",0,0,61,0,0,0
"Obesumbacterium proteus",0,0,18,0,0,0
"Gallaecimonas mangrovi",0,0,73,0,0,0
"Gallaecimonas kandeliae",0,0,52,0,0,15
"Limnobaculum parvum",0,0,47,0,10,0
"Sodalis glossinidius",0,0,25,0,15,0
"Pseudomonas sp. Os17",0,0,306,0,0,0
"Pseudomonas sp. IAC-BECa141",0,0,104,0,24,0
"Pseudomonas sp. QE6",0,0,73,0,0,0
"Pseudomonas sp. StFLB209",0,0,45,0,25,0
"Pseudomonas sp. M30-35",0,0,34,0,0,0
"Pseudomonas sp. J452",0,0,37,0,0,0
"Pseudomonas sp. PDNC002",0,0,33,0,0,0
"Pseudomonas sp. S34",0,0,33,0,0,0
"Pseudomonas sp. LB3P31",0,0,24,0,0,0
"Pseudomonas sp. WMBT8",0,0,22,0,0,0
"Pseudomonas sp. P105",0,0,39,0,0,0
"Pseudomonas sp. D3-10",0,0,128,0,0,0
"Pseudomonas sp. OHS18",0,0,17,0,0,0
"Pseudomonas sp. Q1-7",0,0,17,0,0,0
"Pseudomonas sp. LB3P14",0,0,16,0,0,0
"Pseudomonas sp. HR96",0,0,11,0,0,0
"Pseudomonas sp. JBR1",0,0,15,0,0,0
"Pseudomonas sp. TMB3-21",0,0,11,0,0,0
"Pseudomonas lijiangensis",0,0,119,0,0,0
"Pseudomonas cichorii",0,0,61,0,0,0
"Pseudomonas caspiana",0,0,20,0,0,0
"Pseudomonas neuropathica",0,0,15,0,0,0
"Pseudomonas ogarae",0,0,16,0,0,0
"Pseudomonas poae",0,0,12,0,0,0
"Pseudomonas protegens",0,0,123,79,0,37
"Pseudomonas fragi",0,0,46,35,24,0
"Pseudomonas lundensis",0,0,22,0,0,0
"Pseudomonas coleopterorum",0,0,80,0,0,0
"Pseudomonas tussilaginis",0,0,50,0,0,0
"Pseudomonas saxonica",0,0,45,11,12,0
"Pseudomonas nicosulfuronedens",0,0,39,0,0,0
"Pseudomonas umsongensis",0,0,34,0,0,0
"Pseudomonas cavernae",0,0,27,0,0,0
"Pseudomonas abietaniphila",0,0,16,0,0,0
"Pseudomonas antarctica",0,0,19,0,0,0
"Pseudomonas serbica",0,0,15,0,13,23
"Pseudomonas alkylphenolica",0,0,13,11,19,0
"Pseudomonas pohangensis",0,0,11,0,0,0
"Pseudomonas izuensis",0,0,10,0,0,0
"Pseudomonas cremoricolorata",0,0,10,0,0,0
"Pseudomonas vranovensis",0,0,12,0,0,0
"Stutzerimonas chloritidismutans",0,0,60,0,52,0
"Stutzerimonas urumqiensis",0,0,18,0,0,0
"Ectopseudomonas hydrolytica",0,0,51,0,0,0
"Ectopseudomonas composti",0,0,16,0,0,0
"Metapseudomonas resinovorans",0,0,55,0,0,0
"Metapseudomonas furukawaii",0,0,14,0,0,0
"Aquipseudomonas campi",0,0,14,0,0,0
"Marinobacter sp. NP-4(2019)",0,0,68,0,0,0
"Marinobacter sp. KM021",0,0,89,0,0,0
"Marinobacter sp. CA1",0,0,33,0,0,0
"Marinobacter sp.",0,0,36,0,19,0
"Marinobacter sp. AN1",0,0,13,0,0,0
"Marinobacter fonticola",0,0,27,0,0,0
"Marinobacter alkaliphilus",0,0,50,0,0,0
"Marinobacter salarius",0,0,17,0,0,0
"Xanthomonas sp. SI",0,0,32,0,0,0
"Xanthomonas sp. 10-10",0,0,21,0,0,0
"Xanthomonas sp. CFBP 8445",0,0,20,0,0,0
"Xanthomonas sp. NCPPB 2632",0,0,12,0,0,0
"Xanthomonas sp. NCPPB 1754",0,0,12,0,0,0
"Xanthomonas sacchari",0,0,37,11,0,27
"Xanthomonas oryzae",0,0,30,16,40,51
"Xanthomonas vesicatoria",0,0,25,0,0,0
"Xanthomonas arboricola",0,0,19,0,10,0
"Xanthomonas medicagonis",0,0,16,0,0,0
"Xanthomonas albilineans",0,0,14,0,0,0
"Xanthomonas hawaiiensis",0,0,14,0,0,0
"Pseudoxanthomonas sp.",0,0,92,0,0,0
"Pseudoxanthomonas sp. X-1",0,0,29,0,0,0
"Pseudoxanthomonas koreensis",0,0,103,0,0,0
"Pseudoxanthomonas suwonensis",0,0,20,0,26,0
"Stenotrophomonas riyadhensis",0,0,308,0,0,0
"Stenotrophomonas sp. ZAC14D2_NAIMI4_6",0,0,70,0,0,0
"Stenotrophomonas lactitubi",0,0,89,0,0,0
"Stenotrophomonas acidaminiphila",0,0,26,0,0,0
"Stenotrophomonas nitritireducens",0,0,25,0,0,0
"Stenotrophomonas pigmentata",0,0,10,0,0,0
"Lysobacter enzymogenes",0,0,44,0,0,29
"Luteimonas sp. MC1750",0,0,11,0,0,0
"Luteimonas granuli",0,0,31,25,27,12
"Luteimonas dalianensis",0,0,13,0,0,0
"Xylella fastidiosa",0,0,21,0,20,10
"Marilutibacter maris",0,0,13,0,0,0
"Marilutibacter alkalisoli",0,0,11,0,0,0
"Luteibacter rhizovicinus",0,0,118,18,0,11
"Luteibacter pinisoli",0,0,63,0,0,0
"Luteibacter yeojuensis",0,0,22,0,0,0
"Luteibacter flocculans",0,0,19,0,0,0
"Luteibacter aegosomatissinici",0,0,15,0,0,0
"Dyella thiooxydans",0,0,33,0,0,0
"Dyella jiangningensis",0,0,21,0,0,0
"Dyella kyungheensis",0,0,18,0,0,0
"Dyella telluris",0,0,18,0,0,0
"Dyella nitratireducens",0,0,13,0,42,0
"Frateuria aurantia",0,0,33,0,0,0
"Dokdonella sp. MW10",0,0,17,0,0,0
"Pseudolysobacter antarcticus",0,0,13,0,0,0
"Haemophilus pittmaniae",0,0,24,137,190,264
"Haemophilus parahaemolyticus",0,0,11,0,0,18
"Haemophilus sp. oral taxon 036",0,0,16,0,0,18
"Aggregatibacter aphrophilus",0,0,78,0,77,350
"Aggregatibacter sp. HMT-949",0,0,19,0,36,18
"Aggregatibacter sp. oral taxon 513",0,0,25,21,0,13
"Aggregatibacter sp. Marseille-P9115",0,0,18,20,0,0
"Histophilus somni",0,0,63,21,0,0
"Pasteurella multocida",0,0,36,30,0,73
"Pasteurella canis",0,0,11,0,0,0
"Rodentibacter abscessus",0,0,30,0,0,0
"Mannheimia granulomatis",0,0,17,0,0,0
"Avibacterium volantium",0,0,14,0,0,0
"Testudinibacter sp. P27/CKL/0425",0,0,15,0,0,0
"Halomonas sp. LS-001",0,0,45,0,0,0
"Halomonas sp. CKK8",0,0,40,21,0,35
"Halomonas sp. E14",0,0,21,0,0,0
"Halomonas sp. THAF5a",0,0,20,0,0,0
"Halomonas sp. HAL1",0,0,34,0,0,0
"Halomonas mongoliensis",0,0,160,0,0,0
"Halomonas casei",0,0,83,0,0,0
"Halomonas kashgarensis",0,0,19,0,11,0
"Halomonas beimenensis",0,0,18,0,13,0
"Halomonas litopenaei",0,0,16,0,0,0
"Zymobacter sp. IVIA_5232.4 C2",0,0,18,0,0,0
"Vreelandella sp. TE19",0,0,62,0,0,0
"Salinicola lusitanus",0,0,70,10,0,0
"Kushneria phosphatilytica",0,0,29,0,0,0
"Chromohalobacter israelensis",0,0,16,0,0,0
"Marinomonas sp. GJ51-6",0,0,105,0,0,0
"Marinomonas profundi",0,0,20,0,0,0
"Amphritea atlantica",0,0,88,0,0,0
"Amphritea japonica",0,0,28,0,20,30
"Marinobacterium rhizophilum",0,0,36,0,0,0
"Bacterioplanoides sp.",0,0,15,0,0,0
"Endozoicomonas sp. GU-1",0,0,58,0,51,78
"Endozoicomonas montiporae",0,0,26,0,0,0
"Endozoicomonas euniceicola",0,0,12,0,0,10
"Alloalcanivorax xenomutans",0,0,12,20,0,0
"Isoalcanivorax pacificus",0,0,10,11,0,0
"Thermohahella caldifontis",0,0,42,0,11,0
"Hahella sp. NBU794",0,0,21,0,0,0
"Reinekea forsetii",0,0,30,0,0,0
"Salinispirillum sp. LH 10-3-1",0,0,10,0,0,0
"Shewanella sp. MTB7",0,0,23,0,19,0
"Shewanella marisflavi",0,0,73,20,0,0
"Shewanella inventionis",0,0,94,0,0,0
"Shewanella psychrophila",0,0,50,0,12,0
"Shewanella piezotolerans",0,0,24,0,0,0
"Alteromonas sp. BL110",0,0,37,0,0,0
"Alteromonas sp. 4B03",0,0,12,0,0,0
"Alteromonas macleodii",0,0,21,17,0,0
"Salinimonas sediminis",0,0,42,0,0,0
"Hydrocarboniclastica marina",0,0,34,0,0,0
"Saliniradius amylolyticus",0,0,21,23,14,28
"Catenovulum sediminis",0,0,16,0,0,0
"Pseudoalteromonas sp. HL-AS2",0,0,100,0,0,0
"Pseudoalteromonas tunicata",0,0,22,0,0,0
"Psychrosphaera aestuarii",0,0,46,0,41,0
"Colwellia sp. PAMC 20917",0,0,45,10,0,0
"Thalassomonas viridans",0,0,13,0,0,51
"Idiomarina sp. OT37-5b",0,0,14,0,0,0
"Aegicerorhabdus qinzhovensis",0,0,60,0,0,0
"Psychromonas sp. PT13",0,0,14,0,0,0
"Psychromonas sp. GE-S-Ul-11",0,0,12,0,0,0
"Aeromonas rivipollensis",0,0,184,0,0,0
"Aeromonas piscicola",0,0,51,0,0,0
"Aeromonas popoffii",0,0,17,0,0,0
"Aeromonas dhakensis",0,0,40,0,0,0
"Aeromonas schubertii",0,0,10,0,0,0
"Zobellella taiwanensis",0,0,58,0,0,0
"Zobellella denitrificans",0,0,30,0,0,0
"Tolumonas auensis",0,0,26,0,0,10
"Dongshaea marina",0,0,15,0,12,0
"Vibrio mytili",0,0,28,0,0,0
"Vibrio campbellii",0,0,115,111,0,0
"Vibrio harveyi",0,0,84,0,0,0
"Vibrio sp. BS-M-Sm-2",0,0,78,0,0,0
"Vibrio sp. JC009",0,0,29,0,13,0
"Vibrio sp. MA40-2",0,0,11,0,12,0
"Vibrio rarus",0,0,94,18,0,0
"Vibrio breoganii",0,0,34,0,0,0
"Vibrio iocasae",0,0,26,0,0,0
"Vibrio chagasii",0,0,27,0,16,0
"Vibrio bathopelagicus",0,0,31,0,0,0
"Vibrio proteolyticus",0,0,13,0,0,24
"Vibrio cyclitrophicus",0,0,31,0,0,0
"Vibrio furnissii",0,0,37,27,0,0
"Vibrio tapetis",0,0,10,0,0,0
"Photobacterium swingsii",0,0,95,0,0,0
"Ectothiorhodospira sp. BSL-9",0,0,40,0,0,0
"Sediminicurvatus halobius",0,0,44,0,16,0
"Acidihalobacter aeolianus",0,0,25,0,0,0
"Halorhodospira halochloris",0,0,14,0,0,0
"Thermochromatium tepidum",0,0,45,0,16,0
"Caldichromatium japonicum",0,0,24,0,0,0
"Candidatus Thiodictyon syntrophicum",0,0,15,29,27,14
"Thiocystis violascens",0,0,15,0,0,0
"Wenzhouxiangella sp. AB-CW3",0,0,44,0,0,15
"Thiolapillus brandeum",0,0,10,0,0,0
"Halothiobacillus neapolitanus",0,0,30,0,13,0
"Halothiobacillus sp. DCM-1",0,0,10,13,0,0
"Cellvibrio sp. PSBB023",0,0,54,0,0,0
"Teredinibacter haidensis",0,0,40,0,0,0
"Teredinibacter turnerae",0,0,35,10,0,0
"Gilvimarinus sp. DA14",0,0,42,0,0,0
"Gilvimarinus japonicus",0,0,14,0,0,0
"Maricurvus nonylphenolicus",0,0,18,0,0,0
"Microbulbifer sp. YPW16",0,0,20,0,0,0
"Microbulbifer sp. SAOS-129_SWC",0,0,18,0,0,0
"Microbulbifer sp. ALW1",0,0,14,55,48,39
"Microbulbifer agarilyticus",0,0,43,0,0,16
"Microbulbifer spongiae",0,0,25,0,0,0
"Microbulbifer hydrolyticus",0,0,11,0,0,0
"Halioglobus sp. Uisw_031",0,0,32,0,0,0
"Halioglobus maricola",0,0,15,0,19,0
"Oceanicoccus sagamiensis",0,0,10,0,0,0
"Acinetobacter ursingii",0,0,39,50,0,0
"Moraxella catarrhalis",0,0,29,0,0,0
"Moraxella nasicaprae",0,0,21,0,0,0
"Psychrobacter sanguinis",0,0,31,0,0,0
"Psychrobacter maritimus",0,0,15,0,0,0
"Psychrobacter pacificensis",0,0,14,0,0,0
"Faucicola atlantae",0,0,14,0,0,0
"Methylomonas sp. LL1",0,0,56,0,0,0
"Methylomonas sp. DH-1",0,0,66,0,0,0
"Methylomonas koyamae",0,0,34,0,0,0
"Methylococcus sp. EFPC2",0,0,21,0,0,0
"Methylococcus capsulatus",0,0,13,0,0,0
"Methylogaea oryzae",0,0,21,0,33,17
"Candidatus Methylospira mobilis",0,0,12,0,15,0
"Thiomicrorhabdus sediminis",0,0,40,0,0,0
"Francisella hispaniensis",0,0,79,0,0,23
"Candidatus Francisella endociliophora",0,0,14,0,0,13
"Candidatus Thiothrix anitrata",0,0,45,0,0,0
"Thiothrix litoralis",0,0,30,0,0,0
"Legionella spiritensis",0,0,55,0,0,0
"Legionella adelaidensis",0,0,42,0,0,0
"Legionella anisa",0,0,10,0,0,0
"Coxiella burnetii",0,0,21,0,0,0
"Coxiella endosymbiont of Amblyomma sculptum",0,0,17,0,0,0
"Candidatus Coxiella mudrowiae",0,0,14,0,0,0
"Candidiatus Paracoxiella cheracis",0,0,42,0,0,0
"Candidatus Rickettsiella viridis",0,0,16,0,0,0
"Aquicella lusitana",0,0,10,0,12,21
"Algiphilus sp.",0,0,136,0,0,0
"Flagellatimonas centrodinii",0,0,18,0,27,0
"Hydrocarboniphaga effusa",0,0,10,44,0,0
"Suttonella sp. R2A3",0,0,10,0,0,0
"Ignatzschineria rhizosphaerae",0,0,11,0,22,31
"Frischella perrara",0,0,22,0,0,0
"Zophobihabitans entericus",0,0,11,0,13,0
"Candidatus Spongiihabitans sp.",0,0,43,22,10,12
"Candidatus Pseudothioglobus singularis",0,0,16,0,0,0
"Kangiella aquimarina",0,0,22,0,0,0
"endosymbiont of unidentified scaly snail isolate Monju",0,0,27,0,0,0
"Steroidobacter denitrificans",0,0,16,0,0,0
"Woeseia oceani",0,0,11,0,0,15
"Rhizobium sp. Pop5",0,0,42,0,0,0
"Rhizobium sp. YTU87027",0,0,26,0,131,0
"Rhizobium sp. TH2",0,0,14,0,0,0
"Rhizobium sp. Rhizsp82",0,0,60,0,0,0
"Rhizobium sullae",0,0,65,0,0,0
"Rhizobium bangladeshense",0,0,64,0,0,0
"Rhizobium lentis",0,0,50,0,0,0
"Rhizobium cremeum",0,0,17,0,39,22
"Agrobacterium arsenijevicii",0,0,155,0,31,0
"Agrobacterium sp. rho-13.3",0,0,41,0,43,0
"Agrobacterium rubi",0,0,25,0,0,0
"Pararhizobium sp. O133",0,0,133,0,0,0
"Pararhizobium sp. IMCC3301",0,0,40,168,21,0
"Pararhizobium gei",0,0,16,0,0,0
"Neorhizobium sp. NCHU2750",0,0,31,0,0,0
"Sinorhizobium americanum",0,0,35,52,38,55
"Ensifer sp. R-19",0,0,22,0,0,0
"Shinella sp. PSBB067",0,0,147,0,0,0
"Shinella sp. HZN7",0,0,35,0,0,0
"Shinella oryzae",0,0,25,0,0,0
"Hoeflea sp.",0,0,52,0,0,0
"Hoeflea sp. IMCC20628",0,0,12,0,0,0
"Hoeflea alexandrii",0,0,21,0,31,0
"Bradyrhizobium sp. ORS 278",0,0,51,40,26,0
"Bradyrhizobium sp. RDM12",0,0,54,0,0,0
"Bradyrhizobium sp. 200",0,0,43,0,0,0
"Bradyrhizobium sp. NC92",0,0,149,0,0,0
"Bradyrhizobium sp. CB1717",0,0,40,0,0,0
"Bradyrhizobium sp. McL0615",0,0,20,0,0,0
"Bradyrhizobium erythrophlei",0,0,83,29,15,0
"Bradyrhizobium symbiodeficiens",0,0,138,0,0,0
"Bradyrhizobium commune",0,0,37,0,0,0
